name,uid,code,parent,shortname,description,openingdate,closedate,comment,featuretype,coordinates,url,contactperson,address,email,phonenumber
Kimuren Dispensary,M6Zs0ebqyIS,14884,OvRvzstUL5A,Kimuren Dispensary,,,,,NONE,,,,,,
Kapyego Health Centre,tmduxBH3v2t,14798,SNs5tEDSO0k,Kapyego Health Centre,,,,,NONE,,,,,,
Cheptobot Dispensary,xJBZmqtP9PH,14372,SNs5tEDSO0k,Cheptobot Dispensary,,,,,NONE,,,,,,
Chesetan Dispensary,y8oKNxU4cXp,16680,OvRvzstUL5A,Chesetan Dispensary,,,,,NONE,,,,,,
PCEA Dandora Clinic,oSDjDpuZqxu,12910,Qusks6YHAmd,Dandora (PCEA) Clinic,,,,,POINT,"[36.8953,-1.25025]",,,,,
Dr Gacheru Clinic,MH8WRcRulky,14408,DpYpJ6E1vRc,Dr Gacheru Clinic,,,,,POINT,"[37.094,-0.00133]",,,,,
Miangeni Dispensary (Kathonzweni),bTMaWzOeSk3,16972,jGvMus41myr,Miangeni Disp (KATHONZWENI),,,,,POINT,"[37.82474,-1.8339]",,,,,
Annex Laboratory,jKqKfu6vPPI,10031,At5MPktCh4M,Annex Laboratory,,,,,POINT,,,,,,
Provide International Korogocho,QOy589NgDHb,13150,TqSqq39Jbcz,Provide International Kor,,,,,POINT,"[36.87151,-1.24976]",,,,,
Congo medical services,bQRlQB0zjJr,,ihmR2IRWnpi,Congo medical services,kahawa west location at round about bypass kahawa west ward,,,,POINT,"[-1.18613,36.90665]",,,,,
Kipipiri Sub County,KlVgeHmvG6n,214,mYZacFNIB3h,Kipipiri,,,,,NONE,,,,,,
Tulatula Community Unit,uforgAn4IOI,,PbMTrERuQB0,Tulatula Community Unit,Community Unit,,,,NONE,,,,,,
St Judes Medical Clinic,sQKAlYgcQBx,18198,pp24Rb9gQ9W,St. Judes Medical Clinic,,,,,POINT,,,,,,
Nyango Dispensary,AqLdqbmRxuw,17646,QEGPqON6Zcj,Nyango Dispensary,,,,,POINT,"[38.9078,-4.05769]",,,,,
Mukuuni Dispensary,vCytWU2htrB,12563,vGpXQ5hFNmS,Mukuuni Dispensary,,,,,POINT,"[37.65198,-0.39157]",,,,,
St Paul's Health Centre,pd0Tfwmciex,17195,xhVi71INcFs,St. Paul's Health Centre,,,,,NONE,,,,,,
Lyanaginga Health Centre,QPgGjJSA4pB,15982,VmCvwovgPi4,Lyanaginga Health Centre,OFF MAHANGA-KERONGO ROARD,,,MODEL HEALTH FACILITY,POINT,"[34.65925,0.0165]",,,,,
Kiamberiria Dispensary (CDF),WIqDLeg1CA7,16408,STQIvkltmOp,Kiambiriria Disp (CDF),,,,,POINT,"[35.69048,-0.30488]",,,,,
Ngong Sub-District Hospital,WzIfzN4cqMu,15351,nioMzFVoQ7l,Ngong Sub-District Hospit,,,,,POINT,"[36.65417,-1.36519]",,,,,
Hema Medical Clinic,HiqYRakSm4q,17674,USg05TR1JwK,Hema Medical Clinic,,,,,POINT,"[34.73726,0.00025]",,,,,
Kibubuti Dispensary,GfNb0qzYjyO,10573,woYqYmbk8hx,Kibubuti Dispensary,,,,,POINT,"[36.76481,-1.14853]",,,,,
Gerille Health Centre,W23gnjM12u0,17461,jXyH8e9KzGe,Gerille Health Centre,,,,,POINT,"[40.93280,1.69172]",,,,,
Mid Hill Medical Clinic,ii7FgsLyqov,13091,arZgeTW65s5,Mid Hill Medical Clinic,,,,,POINT,"[36.74813,-1.29159]",,,,,
Westlands  Sub County,f1T0Ltob8VQ,106,jkG3zaihdSs,Westlands Sub-County,Subcounty,,,,NONE,,,,,,
New Glory Medical Clinic,G6zLJHoYkD5,10848,gwYTo0wITYX,New Glory Medical Clinic,,,,,NONE,,,,,,
Kapkota Dispensary,VXcXQZZcb0I,17076,laOitoZMUgC,Kapkota Dispensary,,,,,NONE,,,,,,
Orthodox Dispensary,grMnXpkx5MQ,13135,PTKcICD0k31,Orthodox Dispensary,,,,,POINT,"[36.73778,-1.28418]",,,,,
Luguget Dispensary,CJDtDzu5YNE,15099,OvRvzstUL5A,Luguget Dispensary,,,,,NONE,,,,,,
Nakoko Dispensary,rLsbZAD31Sh,16729,k2oUoGgQ9Nd,Nakoko Dispensary,,,,,NONE,,,,,,
New Nairobi Area Police VCT,dFHLATu08cj,,yXbOIljEz90,New Nairobi Area police,,,,,NONE,,,,,,
Kiambuthia Medical Clinic,SwoKkTdx26A,10541,oCDeWaZZImt,Kiambuthia Medical Clinic,,,,,NONE,,,,,,
Medical Reception Dispensary,kwMvLOcLX8F,13082,m3CPhYAMMRN,Medical Reception Disp,,,,,POINT,"[36.871,-1.24875]",,,,,
Kirege  Dispensary,yPd2OtsR8cg,"S00.33919  ,E37.61501",mr7zhcDiR5h,Kirege Dispensary,kirege route,,,oprational,NONE,,,,,,
Kabati Dispensary,RkvcZ6tXfXh,10389,cWSGKfzRIhc,Kabati Dispensary,,,,,POINT,"[36.82663,-0.25521]",,,,,
God Ngoche Community Unit,rwnij3NGykh,,Oh2bAGRnSwV,God Ngoche Community Unit,Community Unit,,,Supported by KEMRI/FACES,NONE,,,,,,
Upper Kadongo Community Health Unit,inDDR7l3wz4,600131,lkn5DPoeGjs,Upper Kadongo CHU,,,,,POINT,"[34.62185,-0.08013]",,,,,
Heri Tana Medical Clinic,gerQJqBCG4F,19955,dckG5TO7hf8,Heri Tana Medical Clinic,Clinic,,,Operational,POINT,"[40.16946,-2.44341]",,,,,
Dr P K Kapombe Dental Clinic,zEYUDc2rDcg,16781,At5MPktCh4M,Dr P.K. Kapombe Dental Cl,,,,,POINT,"[36.94985,-0.42172]",,,,,
Linda Maternity,ZOW4KJCGZHq,19953,urcMYGpY3xy,Linda Maternity,,,,Operational,POINT,"[40.10724,-2.26998]",,,,,
Woodshaven Medical Centre,yuGHbYtzRAh,18214,RZsWJRZ4mIG,Woodshaven Medical Centre,,,,,POINT,"[36.68889,-1.42962]",,,,,
Bangladesh Community Unit,KCDex5GRvjp,,obZQ6vqwYzN,Bangladesh Community unit,At industrial area,,,Operational as from August 2012,NONE,,,,,,
Kaudha East Community Health Unit,QdkKXicukme,600041,zKDQjMY6KLK,Kaudha East CHU,,,,,NONE,,,,,,
Jomvu Kuu (MCM) Dispensary,ttlDLtD7gUI,11437,T0eflkFOYOF,Jomvu Kuu (MCM) Disp,,,,,POINT,"[39.59837,-4.00512]",,,,,
Upper Kamenya C U,eHWkr2KfYJs,,HIEDhEPPVCE,Upper Kamenya  C.U,,,,,NONE,,,,,,
Khasolo A  Community Unit,NAWuCpE7oL0,,XbRB4QvjEBy,Khasolo A  Community Unit,,,,,NONE,,,,,,
Monica Clinic,dwCRECAarpB,10734,NFNF57gkxbf,Monica Clinic,,,,,POINT,,,,,,
Kithimu A Community Unit,ZnCA2rGxNP8,,zaU3Wr5KwCY,Kithimu A Community Unit,Community Unit,,,,NONE,,,,,,
Birkan Dispensary,h7ZzjO0KNoG,21378,ZEJu2asfUfk,Birkan Dispensary,,,,,POINT,"[3.95228,40.10443]",,,,,
Choroko Dispensary,rEJDe4MmzkK,21379,lZqCQuWJGTO,Choroko Dispensary,,,,,POINT,"[3.95485,40.50160]",,,,,
Nyagenke Community Unity,DrQYx73QQHN,,CSHDsXBlP7m,Nyagenke Community Unity,,,,,NONE,,,,,,
Magena Eritembuj,aYAiJgbBan3,,eZ1lHxSAjET,Magena Eritembuj,,,,,NONE,,,,,,
Ntonyiri Health Services,g40cWR0ueDS,12679,iNmCeQG70K0,Ntonyiri Health Services,near antubwetwe kiongo market,,,,POINT,"[37.98808,0.33771]",,,,,
Lenmek Hospital,XE2bgeMULFs,20919,qH2ke0Qrbu7,Lenmek Hospital,,,,,NONE,,,,,,
Eldas Sub County,x6Z1sBeiyqQ,1033,CeLsrJOH0g9,Eldas,,,,,NONE,,,,,,
Jordan Medical Clinic (Kitui),Mx3v7oHxQN9,12112,xM6qhREfp7o,Jordan MC (Kitui),,,,,NONE,,,,,,
Suba District Hospital,bPtrtamWTmT,14130,zwpctzVflwm,Suba District Hospital,,,,,POINT,"[34.1675,-0.59857]",,,,,
Neela Community Dispensary,Hj3XAIel08A,21060,vURFh88SwIe,Neela Community Dispensary,A newly started facility by the community to offer basic services to the community,,,Started reporting in January 2016,POINT,"[0.35115,34.28621]",,,,,
Kabiemit Dispensary (Mosop),Zzn7r9ALZIk,14618,JsaOcykkym2,Kabiemit Dispensary (Moso,,,,,POINT,"[35.07591,0.51637]",,,,,
Kaloleni Community Unit,bScZ6QM7a1O,,vPGUu3uwSan,Kaloleni Community Unit,,,,Operational as from August 2012,NONE,,,,,,
Dr Ndanya Medical Clinic,etLuH7tAlUy,19095,DpYpJ6E1vRc,Dr Ndanya Medical Clinic,,,,,POINT,"[37.07833,0.01584]",,,,,
Mbogoini Dispensary,UiuRqwz4EGL,15165,DCV7v4zjEnm,Mbogoini Dispensary,,,,,POINT,"[36.2149,0.19443]",,,,,
Ebenezer Medical Clinic (Nyeri South),wUlqNqIctW9,10160,t5i5lYBO7C5,Ebenezer MC (Nyeri South),,,,,POINT,"[36.96076,-0.42]",,,,,
Canaan Clinic (Matete),VqEdcMlvyqk,15841,nbaDAo4y7cH,Canaan Clinic,,,,,POINT,"[34.8669,0.61403]",,,,,
Good Shepherd Angiya,DPmbpX7Npsj,17747,MLB4Nr73Nsh,Good Shepherd Angiya,,,,,POINT,"[34.52251,-0.7341]",,,,,
Kyuso District Hospital,YZuzvi5zGPy,12420,WJLrTzwzXNb,Kyuso District Hospital,,,,,POINT,"[38.21806,-0.55173]",,,,,
Aga Khan Health Services Bungoma Centre,qqYLTXmBcnp,20557,AqsJZWunWRF,Aga Khan Health Services Bungoma Centre,,,,,POINT,"[34.56167,0.54743]",,,,,
Mikindani (MCM) Dispensary,Zbiixb1PWrk,11613,AtSX1b8b5wZ,Mikindani (MCM) Dispensar,,,,,POINT,"[39.62816,-4.00509]",,,,,
Jordan Hospital,VE0jicD9rKu,12110,xM6qhREfp7o,Jordan Hospital,,,,,POINT,"[38.00322,-1.36729]",,,,,
Yunasi Medical Clinic,gTF9GTKAEKG,20087,CMHN2XMxdY9,Yunasi Medical Clinic,Medical Centre,,,,NONE,,,,,,
Levice Medical Clinic,jLTSIkW3yOR,18470,LMCJ2zXfHyL,Levice Medical Clinic,Medical,,,,POINT,"[39.68696,-4.03784]",,,,,
Uthiru Ward,E1aZozuTyJx,,sqNWYDHZZ6W,Uthiru Ward,,,,,NONE,,,,,,
Royal Gardens,C2tOsFdInns,,QhDd2LAuXAF,Royal Gardens,,,,,NONE,,,,,,
Mutuyu Dispensary,QdCq6Zvn3bc,21675,X0dFLUEZDlw,Mutuyu Dispensary,,,,,POINT,"[1.61801,37.34695]",,,,,
I Choose Life Africa,PcBMVnOHozA,18201,XnWPNKPDxxo,I Choose Life Africa,,,,Closed,NONE,,,,,,
Firmview Medical Clinic,pXjZirbDYgt,13554,oq5P0uoHv4U,Firmview Medical Clinic,,,,,POINT,"[34.92482,-0.72589]",,,,,
Ekerenyo Sub-District Hospital,hYlQ9bF0BNY,13540,QcYbNJ5Z88l,Ekerenyo SDH,,,,,POINT,"[34.98799,-0.52815]",,,,,
Dr U N Kanani Dental Clinic,jMxzZNT1s3r,10115,At5MPktCh4M,Dr  U N Kanani Dental Cli,,,,,POINT,,,,,,
Muthambi Health Centre,iLfGXM4vg6l,12589,gLD3Q9fHpvy,Muthambi Health Centre,NEAR MARIMA TOWN,,,,POINT,"[37.661252,-0.275026]",,,,,
Konyo Medical Clinic,BWFzjHZ2c03,12382,auJK9sKTX9b,Konyo Medical Clinic,,,,,NONE,,,,,,
Shompole Community Health Unit,b2zTysJy65C,602278,hk7CLAgs5Hy,Shompole CHU,,,,,NONE,"[36.11861,-2.09331]",,,,,
Nyansabakwa Health Centre,mIhBcu4mJnr,16990,Av8d3lmuaua,Nyansabakwa Health Centre,,,,,POINT,"[34.89191,-0.51506]",,,,,
Ivutini Dispensary,haaAaCax7Cq,21440,X0dFLUEZDlw,Ivutini Dispensary,,,,,POINT,"[1.65462,37.36125]",,,,,
Bondo Dispensary,TRiVDQSVF92,21191,KwrilS23iAS,Bondo Dispensary,"Bondo is located along Migori Piny Oyie-Muhuru road , 1 km away from Bondo Nyonge market centre.",,,,POINT,"[1.09829,34.40115]",,,,,
Aphia Disc 1Nanyuki Transport Dispensary,KkumW2wYGUJ,18671,DpYpJ6E1vRc,Aphia Disc 1Nanyuki Transport,Medical Clinic,,,Within Nanyuki Town,POINT,"[37.07866,0.0143]",,,,,
Afya Medical Clinic -Lake View,KmvuNdxHwsv,18845,FydnlJp81aR,Afya Medical Clinic -Lake View,Medical Clinic,,,,POINT,"[39.70123,-4.00659]",,,,,
Joy Medical Clinic (Kikuyu Sub-County),omyFePKFRl6,21228,gFLRh6j7pBd,Joy Medical Clinic (Kikuyu Sub-County),Lusigetti shopping centre private Clinic,,,,NONE,,,,,,
Kojonga Community Health Unit,jbkfUzGiHk3,601103,JaiUmRIBDPR,Kojonga CHU,,,,,POINT,"[36.13057,-0.96615]",,,,,
CLOSED Eclipse Medical Centre,oTuDLrQnhS6,20632,FydnlJp81aR,CLOSED Eclipse Medical Centre,,,,,POINT,,,,,,
Tuum Dispensary,VvJoyhqdCK3,15757,UpMVKpuABHz,Tuum Dispensary,,,,,POINT,"[36.77517,2.14619]",,,,,
Sinai Medical Clinic,lwEFIoO4YRN,16834,FJJRq7O0QcB,Sinai Medical Clinic,,,,,NONE,,,,,,
Kiptulos Dispensary,xSfblCDzc79,14931,elLT94gpbch,Kiptulos Dispensary,,,,,POINT,"[35.56875,0.42684]",,,,,
Kinagoni Dispensary,NijIFuj8eTF,11479,wfUbX2QagwS,Kinagoni Dispensary,,,,,POINT,"[39.2324,-3.86981]",,,,,
Umala Community Unit,Lk98ZiGW0bh,,QwwfA6dvS2J,Umala Cu,,,,,NONE,,,,,,
Family Access Medical Clinic,Bx7VeeKW0EI,,m3CPhYAMMRN,Family Access Medical Clinic,,,,,NONE,,,,,,
Kamweti Clinic,Z1Pr8ggZtbA,10457,E8dTFNJYgtl,Kamweti Clinic,,,,,NONE,,,,,,
Vigurungani Dispensary,Yb2CWS6G5vL,11880,QEGPqON6Zcj,Vigurungani Dispensary,,,,,POINT,"[39.16313,-4.04152]",,,,,
Upper Mbihi Community Unit,SATepGjdMJg,,DbCCiO4AXdh,Upper Mbihi Community Unit,,,,,NONE,,,,,,
Mchana Estate Dispensary,TsqchCAep0c,10715,Gf7UYKPruI2,Mchana Estate Dispensary,,,,,POINT,"[36.8876,-1.11328]",,,,,
Endarasha Rural Health Centre,I4AiM5QGOvq,10170,kBloQxkcKxZ,Endarasha Rural HC,,,,,POINT,"[36.79406,-0.30678]",,,,,
GK Prisons Dispensary (Kakamega Central),yanWZpO1esQ,15892,yKF1kdNdLqM,GK Prisons Disp (Kakamega,,,,,POINT,"[34.75309,0.27284]",,,,,
St Mathews Kandaria Dispensary,vcWB89raxir,20037,cfUqqHJA6z4,St Mathews Kandaria Dispensary (Rarieda),,,,,POINT,"[34.41533,0.1261]",,,,,
Amwamba Dispensary,UgtX1mMDFmQ,17062,mSPC54QXXiP,Amwamba Dispensary,,,,,POINT,"[37.93124,0.19384]",,,,,
CLOSED New Nyali Paeds Hospital,s6mnfBaYCYX,11709,XhBDUNeFqF6,CLOSED New Nyali Paeds Hospital,,,,,POINT,"[39.7103,-4.02564]",,,,,
Family Planning Association of Kenya Clinic (Nyeri),bEAzoo6wEdl,10182,At5MPktCh4M,FPAOK Clinic (Nyeri),,,,,POINT,,,,,,
NYS Dispensary (Keiyo),Be2ArqTDDIk,15378,SZAo3nP3jDj,NYS Dispensary (Keiyo),,,,,POINT,"[35.66103,0.31574]",,,,,
Ngenyilel Community Health Unit,qwHZ8l9OLef,600866,urik0ldENYT,Ngenyilel CHU,Community Unit,,,,POINT,"[34.98875,0.62328]",,,,,
Liviero Dispensary,gwSSgY6zYfC,12431,wCqyM612JwW,Liviero Dispensary,,,,,POINT,"[37.56268,-0.65624]",,,,,
Tarbaj Sub County,fmNokBURXjM,1035,CeLsrJOH0g9,Tarbaj,,,,,NONE,,,,,,
Beacon of Hope Clinic (Kajiado),vG1iOKniT2c,16667,pp24Rb9gQ9W,Beacon of Hope C (Kajiado,,,,,POINT,"[36.76284,-1.39401]",,,,,
Kitoben Dispensary,RExEonfMvvP,14952,wHeMr9JlYBi,Kitoben Dispensary,,,,,POINT,"[35.40991,-0.7325]",,,,,
Kaplutiet Dispensary,EH14qWOgj1I,17312,yr6iJLD5JmG,Kaplutiet,,,,,NONE,,,,,,
Don Bosco Catholic Dispensary,l8MVSsObGLy,10112,U3N4bJZ2BL0,Don Bosco Catholic Disp,,,,,POINT,"[37.1974,-0.90836]",,,,,
Ebenezer Medical Clinic,uX8B1AZHLhV,17496,ZvHXuhKoAuI,Ebenezer Medical Clinic,,,,The facility does not exist,POINT,,,,,,
Kiwawa (ACCK) Dispensary,UgmknlvLIxt,16374,Yvjwozdmf1M,Kiwawa (ACCK) Dispensary,,,,,POINT,"[35.02646,2.01374]",,,,,
Nanyeni A,bYh7HBNsmPJ,600749,yBE1qjhnu5Q,Nanyeni A,,,,,POINT,"[34.41802,0.40444]",,,,,
Wa-Anne Medical Clinic,yZ00PSEO9qa,11151,U3N4bJZ2BL0,Wa-Anne Medical Clinic,,,,,POINT,"[37.2185,-0.88897]",,,,,
Good Samaritan Clinic,kG1MVBk2jrq,,NFNF57gkxbf,Good Samaritan  Clinic,Medical Clinic,,,,POINT,,,,,,
Kathukini Community Health Unit,fyF1zEwiEgj,602049,KkNGpcXwBOw,Kathukini CHU,,,,,NONE,,,,,,
Juzippos Health Care Clinic,hpiTaKFb5IS,16843,ZVoIw8oAOWZ,Juzippos Health Care Clin,,,,,NONE,,,,,,
Karia Health Centre,PRkZFo6LxYn,10493,zvhM3m7bIIh,Karia Health Centre,,,,,POINT,"[36.81935,-1.10343]",,,,,
Matura Medical Care,jVhl1A0KGIe,10708,At5MPktCh4M,Matura Medical Care,,,,,POINT,"[36.94906,-0.42029]",,,,,
Merciful International Guild,VhRKqTuwAP6,17556,il32x0l8U6u,Merciful International Gu,,,,The facility does not exist,POINT,,,,,,
Chambiti Health Community Unit,C9jroKnm0HB,,DbCCiO4AXdh,Chambiti Health Community Unit,Municipality Division,,,,NONE,,,,,,
Development Pamoja Dispensary,bfvKgyGVI1z,21454,RLv6Wg2Eo8m,Development Pamoja Dispensary,"At Sarambee village, Athinai sub location in Kampi ya moto DivisionSoin Ward.",,,OPERATIONAL,POINT,"[35.956085,-0.076645]",,,,,
North Star Alliance VCT,atkeK7ODMj3,18599,bKCcKfnNznJ,North Star Alliance clinic,,,,,POINT,"[35.84903,-0.20546]",,,,,
Kamirithu Medical Clinic,PLwAJdxbRA9,17201,DwOhEdMGpB7,Kamirithu Medical Clinic,,,,,POINT,"[36.62983,-1.10916]",,,,,
Faith Medical Clinic (Nyeri North),CFTGS1byY6z,10177,uhmsPJrZCXF,Faith MC (Nyeri North),,,,,POINT,"[36.90558,-0.32468]",,,,,
Sisto Mazoldi Dispensary (Rongai),jzItff279sZ,18011,bKCcKfnNznJ,Sisto Mazoldi Dispensary,,,,,POINT,"[35.8695,-0.17708]",,,,,
Kimugul Dispensary (Kipkelion),Xr1tO3IYtzQ,14882,tqCrm5nojsI,Kimugul Disp (Kipkelion),,,,,POINT,"[35.50264,-0.25114]",,,,,
Ukunda Medical Clinic,Iup62QtD0aw,16552,iBuXrh8ESS2,Ukunda Medical Centre,,,,,POINT,"[39.56565,-4.28475]",,,,,
Jirwani Dispensary,bAU8zGySyHG,16454,hXKwpKcEej9,Jirwani Dispensary,,,,,NONE,,,,,,
Chavogere Community Unit,ShWKeNZf8LD,,DL2NcqH6Dxv,Chavogere Community Unit,Community Unit,,,,NONE,,,,,,
Boru Haro Model Health Centre,FdUG9ZIp697,18853,G2LQpPk5BXU,Boru Haro Model Health Centre,,,,,POINT,"[38.05954,2.31809]",,,,,
Samburu Complex,PKpVmXicCaG,12727,GHmkA5jGVqQ,Samburu Complex,,,,,POINT,"[37.7107,0.65094]",,,,,
Enkasiti Roses Farm Clinic,QolMKv3x28D,10172,yg2YesgFsrG,Enkasiti Roses Farm Clini,,,,,POINT,,,,,,
Jamii Hospital,dZqf3vmMjm0,10368,oCDeWaZZImt,Jamii Hospital,,,,,POINT,"[37.1311,-0.47896]",,,,,
Witeithie Ward,OqnujBG8mvl,,aiqi2bz0IMI,Witeithie Ward,,,,,NONE,,,,,,
Giatutu Dispensary,eRAOFBm0YHQ,17421,WnEb4RUZg21,Giatutu Dispensary,,,,,POINT,"[36.9679,-0.96403]",,,,,
Gituamba (Aipca) Dispensary,EgZh5MF3p8h,10020,WnEb4RUZg21,Gituamba (AIPCA) Dispensary,,,,,POINT,"[36.98695,-0.94349]",,,,,
Njemuka Clinic,L8uU3AEieO8,10881,X7arkK99dq7,Njemuka Clinic,,,,,POINT,"[37.0763,-0.84923]",,,,,
Gatina Dispensary,I9x3IXwZfm5,10220,rGu0Fh2c3kI,Gatina Dispensary,,,,,POINT,"[37.14537,-0.54653]",,,,,
Kisasi Community Unit,v3iXAVABB7Z,,oIfTa0e3Og0,Kisasi Community Unit,Linked to Serem Health Centre,,,It is a newly created Community Unit. It was created by CHAK(Christian Health Association of Kenya) in December 2012. The CU has just started operating but still has a few challenges to be overcome soon.,NONE,,,,,,
Kiandutu Health Centre,ba63sP0ArOy,16814,x1SnGzy9rZL,Kiandutu Health Centre,,,,,POINT,,,,,,
Tabare Dispensary,armdTV0J5Fv,15695,mdOmXEGyL3l,Tabare Dispensary,,,,,POINT,"[35.65036,0.1892]",,,,,
Sawa Ikombe Medical Clinic,R1DMIreAISy,19201,Q4EsypvUANP,Sawa Ikombe Medical Clinic,private,,,,POINT,"[37.40542,-1.17425]",,,,,
Kipsero community unit,bm0MAlr7jQB,,WjEssqA66dw,Kipsero community unit,covers kipsero sub location,,,,NONE,,,,,,
Joseph Memorial Medical Centre,lTZbaoT6FpB,20287,xK7G5Lg2CEW,Joseph Memorial Medical Centre,,,,Facility situated in Gilgil Town  behind Gilgil Kenya Commercial Bank near Gilgil Police Station,POINT,,,,,,
Island Farms Dispensary,FA8zVLtGdHQ,10355,fB16JFnw8Ex,Island Farms Dispensary,,,,,POINT,"[37.06254,-0.17421]",,,,,
Munyaka Community Health Unit,rBtUS75fObf,601334,Qoxzr8UwgyL,Munyaka CHU,,,,,NONE,,,,,,
Kianda Community Health Unit,WZrpIN0sIlC,601669,ZlQBKMyBkpM,Kianda CHU,,,,,POINT,"[36.77983,-1.32054]",,,,,
Huruma Medical Clinic (Gatundu),PJ64R165sVi,10329,C5gJnXO6h1Y,Huruma Medical Cl (Gat),,,,,POINT,"[37.15883,-1.05487]",,,,,
Kambui (PCEA) Dispensary,sVtx58e1tHa,10446,bkMHxVGDIcL,Kambui (PCEA) Dispensary,,,,,POINT,"[36.86279,-1.101]",,,,,
Kiganjo Medical Clinic,yFHcoKIDaOP,,A7a1GZJvTGD,Kiganjo Medical Clinic,Medical clinic,,,,NONE,,,,,,
Simotwet Dispensary,S6QG3RQBMma,15576,uMqAPTG5rm0,Simotwet Dispensary,,,,,POINT,"[35.2936,-0.46979]",,,,,
Gateways Medical Clinic,ULXDMBwYktJ,10211,ELXBhFCPcHC,Gateways Medical Clinic,,,,,POINT,"[36.961,-0.68659]",,,,,
Karundu Dispensary,PP253B8hwav,10505,EitnMJgAT0z,Karundu Dispensary,,,,,POINT,"[37.05636,-0.34471]",,,,,
Annointed Med,Sb0xwuOdMx1,18816,V3ZV8jsqN0Z,Annointed med,,,,,POINT,"[34.50601,0.29934]",,,,,
Alupe Sub-District Hospital,wmUX4Xf6mHU,15795,umi4GRQTwG0,Alupe S. District Hosp,"Situated along Busia-Malaba road,6 kms from Busia town",,,It is operational and is a referral hospital for Teso South sub county,POINT,#N/A,,,,,
Shiru Community Unit,RpMIyzAJ4YH,1746,HBsqa81tb5L,Shiru CU,,,,"Link Facility
Shiru Health Centre",NONE,,,,,,
Kaptum Keiyo Dispensary,Y8kQF9aAUHe,,i7TCmhUejq5,Kaptum,,,,,POINT,,,,,,
Muhudu Community Unit,T3Fx9kbMQJm,,hqiyXj3Cfxz,Muhudu CU,,,,"Link Facility
Kaptech Dispensary",NONE,,,,,,
Kitundu Dispensary,DVRneTerNNJ,19145,KBHoROCFohc,Kitundu Dispensary,,,,,POINT,"[37.98808,-1.46044]",,,,,
Kiromwok Dispensary,dxmFcZMYLJ6,14939,sp794D1MvxT,Kiromwok Dispensary,,,,,POINT,"[35.42777,-0.74489]",,,,,
Gamoi Community Unit,Y93bySUjVWU,,FZc8EjHfowN,Gamoi Community Unit,,,,"link Facility
Kimogoi Dispensary",NONE,,,,,,
Penda Health Medical Clinic,NilK1ubEqEG,18402,L6v0cndEtYB,Penda Health Kitengela,,,,,POINT,"[36.95716,-1.47841]",,,,,
AAR City Centre Clinic,DX1UYTb1erh,12861,KJHG9zDp2UR,AAR City Centre Clinic,,,,,POINT,"[36.82135,-1.28443]",,,,,
Kiaibabu Dispensary,NfowlzlK7eK,17953,zvhM3m7bIIh,Kiaibabu Dispensary,,,,added to DHIS2,POINT,"[36.78641,-1.10796]",,,,,
Gituamba Dispensary,iJawbrhepIT,,v5Uz1hZEGu3,Gituamba Dispensary,,,,,POINT,"[36.98,-0.92]",,,,,
Masaba Hospital,Lh9ALP9Tq11,13073,QhDd2LAuXAF,Masaba Hospital,,,,,NONE,,,,,,
Mumbuni Nursing Home,gIzaIg3BD9v,12574,vvsB9Kldjzy,Mumbuni Nursing Home,,,,,POINT,"[38.06301,-0.94072]",,,,,
Ndakani (Syamatani) Dispensary,rwQbZ1QRtak,17817,V2yqe9L0ha7,Ndakani (Syamatani) Dispensary,,,,,POINT,"[38.25108,-1.53362]",,,,,
Aga Khan Hospital (Kisumu),hmIgXXyNHOj,13465,wTeTHBlXnQj,Aga Khan Hospital (Kisumu,,,,,POINT,"[34.75621,-0.09937]",,,,,
8Th Street Clinic,sxSzjDL1zPB,14182,BQ7G5kGe1Cv,8th Street Clinic,,,,,POINT,"[36.84845,-1.64235]",,,,,
Syekunya Community Unit,u6zKgQd8AEb,,wwBB7XKIgr8,SYEKUNYA C U,,,,,NONE,,,,,,
Ap Line Dispensary,tmOunpxPDt9,15801,yKF1kdNdLqM,AP Line Dispensary,,,,,POINT,"[34.75514,0.27532]",,,,,
Giathanini Dispensary,pFTiuzSPACf,10248,qduwDtFCdfH,Giathanini Dispensary,,,,,POINT,"[37.1911,-1.02545]",,,,,
NYS Dispensary (Gilgil),nQDoBi1L8SS,15377,xK7G5Lg2CEW,NYS Dispensary (Gilgil),,,,,POINT,"[36.31682,-0.47809]",,,,,
Manga Getobo Clinic,IlKkowhD6pn,13767,zfVQ2KNTfgY,Manga Getobo Clinic,,,,,POINT,"[34.8366,-0.63472]",,,,,
Tenden Community Health Unit,EcuFPMGKj5k,601008,quLxdYla7F6,Tenden CHU,Community Unit,,,,POINT,"[35.36301,1.01597]",,,,,
Syongila Dispensary,G5XLaGUFGHI,12781,xM6qhREfp7o,Syongila Dispensary,,,,,POINT,"[37.9875,-1.33397]",,,,,
Aedemoru Community Health Unit,NMFoUkR385n,600791,tpmeDcmWQWf,Aedemoru CHU,community unit,,,,NONE,"[34.39563,0.65654]",,,,,
Mariestopes,mBupWxafNCT,17484,x1SnGzy9rZL,Mariestopes,,,,,POINT,"[37.07519,-1.03576]",,,,,
Kutus Catholic Dispensary,RoFR7KRVrgC,10646,Gsl9Z7f1kbX,Kutus Catholic Dispensary,,,,,POINT,"[37.32609,-0.56706]",,,,,
